student_id,login_frequency_per_week,attendance_percentage,assignment_delay_days,study_hours_per_day,sentiment_score,sleep_hours_per_day,stress_level,activity_trend,social_interaction_score,extracurricular_participation,activity_irregularity_score,engagement_score,burnout_velocity,burnout_risk_score,burnout_risk_level,dropout_probability,behavioural_triggers,recommended_intervention
1000,6,91,12,1.5,0.24,8.6,3,Improving,7,4,0.6,6.23,0.203,33.91,Low,0.38,Frequent assignment delays,No immediate action required
1001,5,92,1,4.5,0.01,5.9,3,Stable,3,0,0.05,5.76,0.012,23.68,Low,0.26,Normal behaviour,No immediate action required
1002,4,48,6,0.6,0.05,7.5,9,Improving,1,3,0.24,2.96,0.116,48.52,Medium,0.52,"Low attendance, High stress",Monitor and provide academic support
1003,3,47,14,1.5,-0.6,5.9,4,Stable,5,1,0.57,3.61,0.35,61.36,Medium,0.52,"Low attendance, Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1004,1,65,11,5.7,0.11,7.8,8,Stable,8,4,0.39,4.99,0.212,54.42,Medium,0.5,"Low LMS activity, Frequent assignment delays, High stress",Monitor and provide academic support
1005,4,63,9,5.8,-0.75,7.6,1,Improving,8,0,0.2,5.85,0.082,41.13,Medium,0.31,"Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1006,2,90,0,4.4,0.24,8.5,7,Stable,6,0,0.62,5.38,0.222,35.83,Low,0.32,Low LMS activity,No immediate action required
1007,7,94,6,4.2,0.48,9.1,6,Declining,0,2,0.12,5.76,0.027,22.14,Low,0.26,Normal behaviour,No immediate action required
1008,0,44,9,1.8,-0.31,7.0,3,Improving,6,0,0.31,2.88,0.18,57.97,Medium,0.58,"Low attendance, Low LMS activity, Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1009,5,76,6,3.8,-0.71,6.8,7,Stable,5,3,0.93,5.54,0.443,47.6,Medium,0.54,Negative sentiment,Monitor and provide academic support
1010,0,92,5,3.0,-0.21,4.4,7,Declining,6,0,0.27,4.56,0.131,48.39,Medium,0.51,Low LMS activity,Monitor and provide academic support
1011,0,91,12,5.2,0.0,6.1,9,Stable,0,2,0.27,3.77,0.15,55.63,Medium,0.51,"Low LMS activity, Frequent assignment delays, High stress",Monitor and provide academic support
1012,2,93,7,4.4,0.13,6.4,4,Stable,6,1,0.71,5.47,0.303,42.69,Medium,0.36,Low LMS activity,Monitor and provide academic support
1013,7,56,10,3.9,-0.33,6.5,5,Stable,0,2,0.68,4.56,0.314,46.19,Medium,0.47,"Low attendance, Frequent assignment delays, Negative sentiment",Monitor and provide academic support
1014,1,71,5,1.8,0.57,7.6,1,Declining,7,4,0.63,4.19,0.26,41.32,Medium,0.44,Low LMS activity,Monitor and provide academic support
1015,2,87,0,1.3,0.97,6.6,3,Stable,3,2,0.71,4.07,0.234,32.89,Low,0.39,Low LMS activity,No immediate action required
1016,3,71,6,1.5,-0.46,8.8,2,Declining,8,0,0.21,4.93,0.08,38.04,Low,0.39,Negative sentiment,No immediate action required
1017,1,74,6,4.1,0.11,8.5,1,Stable,4,4,0.88,4.14,0.402,45.67,Medium,0.39,Low LMS activity,Monitor and provide academic support
